Symbol,Company Name,Market Capitalization,Sector,Industry,Dividend Yield,Beta
AGGFF,AFRICAN GOLD GROUP INC,17518820.00,Materials,Metals & Mining,--,+2.4
AGGG,Antilia Group Corp,47620.00,,,--,--
AGGX,Angiogenex Inc,3038700.00,,,--,+6.9
AGHC,Aeon Global Health Corp,467990.00,Health Care,Health Care Providers & Services,--,+1.1
AGIN,American Graphite Technologies Inc,2712420.00,Materials,Metals & Mining,--,-1.7
AGLE,Aeglea Bio Therapeutics Inc,369594270.00,Health Care,Biotechnology,--,+1.7
AGM,Federal Agricultural Mortgage Corp.,694333150.00,Financials,Thrifts & Mortgage Finance,4.25%,+1.1
AGMH,AGM Group Holdings Inc,334014300.00,Financials,Capital Markets,--,--
AGMJF,ALGOMA CENTRAL CORP,394264430.00,Industrials,Marine,3.81%,+1.0
AGOL,Andina Gold Corp,19545760.00,,,--,--
AGPIF,ANGLO PACIFIC GROUP PLC SHS,283406400.00,,,7.85%,+1.2
AGPL,Apple Green Holding Inc,82484000.00,,,--,--
AGRDF,MINNOVA CORP,6986370.00,Materials,Metals & Mining,--,+0.1
AGREF,ARGONAUT RESOURCES NL SHS,3495450.00,,,--,+1.6
AGRIP,Agribank FCB,284375000.00,,,6.04%,--
AGRO,Adecoagro SA,775024090.00,Consumer Staples,Food Products,--,+1.2
AGRS,"Agristar, Inc.",355000.00,,,--,+1.2
AGRX,Agile Therapeutics Inc,261430650.00,Health Care,Pharmaceuticals,--,+1.3
AGS,Playags Inc,208873440.00,Consumer Discretionary,"Hotels, Restaurants & Leisure",--,--
AGSO,"AgriSolar Solutions, Inc.",2553040.00,Industrials,Machinery,--,+0.8
AGTAF,AGRITERRA LTD ORD,1062050.00,,,--,+0.2
AGTC,Applied Genetic Technologies Corp,111585900.00,Health Care,Biotechnology,--,+2.4
AGTK,Argitek Holdings Inc,315220.00,Consumer Discretionary,Distributors,--,-1.3
AGTT,Angstrom Technologies Inc,642470.00,,,--,+1.5
AGTX,Agentix Corp,13796000.00,,,--,--
AGX,"Argan, Inc.",782246400.00,Industrials,Construction & Engineering,2.03%,+0.6
AGXKF,ANGLO ASIAN MINING PLC SHS,201329920.00,,,5.11%,+1.4
AGYS,"Agilysys, Inc.",938685890.00,Information Technology,Software,--,+1.4
AGYTF,ALLERGY THERAPEUTICS PLC WORTH SHS,111976200.00,,,--,+1.3
AHAC,Alpha Healthcare Acquisition Corp,126750300.00,,,--,--
AHAD,Alphacom Holdings Inc,730.00,,,--,--
AHAG,Alpha Technologies Group Inc,273020.00,,,--,+1.0
AHC,A. H. Belo Corp,31900900.00,Communication Services,Media,10.88%,+0.5
AHFCF,FLOW CAP CORP COM NEW,10209540.00,Financials,Capital Markets,--,+0.3
AHFD,Active Health Foods Inc,730.00,Consumer Staples,Food Products,--,--
AHH,Armada Hoffler Properties Inc,858920000.00,Real Estate,Equity Real Estate Investment Trusts (REITs),4.06%,+0.8
AHII,Fyolo Technology Corp,1400.00,Consumer Staples,Tobacco,--,--
AHIX,ALUF Holdings Inc,2004300.00,,,--,-1.1
